Step       Direction       FrameID        Data                 TimeStamp
1           Send:          070E     10 03                   2018\5\10\16:07:34:176
2           Receive:       078E     50 03 00 32 01 F4       2018\5\10\16:07:34:180
3           Send:          070E     3E 00                   2018\5\10\16:07:34:187
4           Receive:       078E     7E 00                   2018\5\10\16:07:34:200
5           Send:          07DF     85 02                   2018\5\10\16:07:34:219
6           Receive:       078E     C5 02                   2018\5\10\16:07:34:230
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 0C 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00          
106         Receive:       078E     76 03                   2018\5\10\16:07:39:926
107         Send:          070E     36 04 FF 00 FF 00 FF    2018\5\10\16:07:39:943
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00          
108         Receive:       078E     76 04                   2018\5\10\16:07:40:21
109         Send:          070E     36 05 FF 00 FF 00 FF    2018\5\10\16:07:40:39
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00          
110         Receive:       078E     76 05                   2018\5\10\16:07:40:117
111         Send:          070E     36 06 FF 00 FF 00 FF    2018\5\10\16:07:40:133
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00          
112         Receive:       078E     76 06                   2018\5\10\16:07:40:210
113         Send:          070E     36 07 FF 00 FF 00 FF    2018\5\10\16:07:40:227
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
